logical-address=30023,page-number=7,offset=1351
tlb-hit=0,page-number=157,frame=none,physical-address=none
tlb-remove=none,tlb-add=157logical-address=647168,page-number=158,offset=0
tlb-hit=0,page-number=158,frame=none,physical-address=none
tlb-remove=none,tlb-add=158logical-address=651264,page-number=159,offset=0
tlb-hit=0,page-number=159,frame=none,physical-address=none
tlb-remove=none,tlb-add=159logical-address=655360,page-number=160,offset=0
tlb-hit=0,page-number=160,frame=none,physical-address=none
tlb-remove=none,tlb-add=160logical-address=659456,page-number=161,offset=0
tlb-hit=0,page-number=161,frame=none,physical-address=none
tlb-remove=none,tlb-add=161logical-address=663552,page-number=162,offset=0
tlb-hit=0,page-number=162,frame=none,physical-address=none
tlb-remove=none,tlb-add=162logical-address=667648,page-number=163,offset=0
tlb-hit=0,page-number=163,frame=none,physical-address=none
tlb-remove=none,tlb-add=163logical-address=671744,page-number=164,offset=0
tlb-hit=0,page-number=164,frame=none,physical-address=none
tlb-remove=none,tlb-add=164logical-address=675840,page-number=165,offset=0
tlb-hit=0,page-number=165,frame=none,physical-address=none
tlb-remove=none,tlb-add=165logical-address=679936,page-number=166,offset=0
tlb-hit=0,page-number=166,frame=none,physical-address=none
tlb-remove=none,tlb-add=166logical-address=684032,page-number=167,offset=0
tlb-hit=0,page-number=167,frame=none,physical-address=none
tlb-remove=none,tlb-add=167logical-address=688128,page-number=168,offset=0
tlb-hit=0,page-number=168,frame=none,physical-address=none
tlb-remove=none,tlb-add=168logical-address=692224,page-number=169,offset=0
tlb-hit=0,page-number=169,frame=none,physical-address=none
tlb-remove=none,tlb-add=169logical-address=696320,page-number=170,offset=0
tlb-hit=0,page-number=170,frame=none,physical-address=none
tlb-remove=none,tlb-add=170logical-address=700416,page-number=171,offset=0
tlb-hit=0,page-number=171,frame=none,physical-address=none
tlb-remove=none,tlb-add=171logical-address=704512,page-number=172,offset=0
tlb-hit=0,page-number=172,frame=none,physical-address=none
tlb-remove=none,tlb-add=172logical-address=708608,page-number=173,offset=0
tlb-hit=0,page-number=173,frame=none,physical-address=none
tlb-remove=none,tlb-add=173logical-address=712704,page-number=174,offset=0
tlb-hit=0,page-number=174,frame=none,physical-address=none
tlb-remove=none,tlb-add=174logical-address=716800,page-number=175,offset=0
tlb-hit=0,page-number=175,frame=none,physical-address=none
tlb-remove=none,tlb-add=175logical-address=720896,page-number=176,offset=0
tlb-hit=0,page-number=176,frame=none,physical-address=none
tlb-remove=none,tlb-add=176logical-address=724992,page-number=177,offset=0
tlb-hit=0,page-number=177,frame=none,physical-address=none
tlb-remove=none,tlb-add=177logical-address=729088,page-number=178,offset=0
tlb-hit=0,page-number=178,frame=none,physical-address=none
tlb-remove=none,tlb-add=178logical-address=733184,page-number=179,offset=0
tlb-hit=0,page-number=179,frame=none,physical-address=none
tlb-remove=none,tlb-add=179logical-address=737280,page-number=180,offset=0
tlb-hit=0,page-number=180,frame=none,physical-address=none
tlb-remove=none,tlb-add=180logical-address=741376,page-number=181,offset=0
tlb-hit=0,page-number=181,frame=none,physical-address=none
tlb-remove=none,tlb-add=181logical-address=745472,page-number=182,offset=0
tlb-hit=0,page-number=182,frame=none,physical-address=none
tlb-remove=none,tlb-add=182logical-address=749568,page-number=183,offset=0
tlb-hit=0,page-number=183,frame=none,physical-address=none
tlb-remove=none,tlb-add=183logical-address=753664,page-number=184,offset=0
tlb-hit=0,page-number=184,frame=none,physical-address=none
tlb-remove=none,tlb-add=184logical-address=757760,page-number=185,offset=0
tlb-hit=0,page-number=185,frame=none,physical-address=none
tlb-remove=none,tlb-add=185logical-address=761856,page-number=186,offset=0
tlb-hit=0,page-number=186,frame=none,physical-address=none
tlb-remove=none,tlb-add=186logical-address=765952,page-number=187,offset=0
tlb-hit=0,page-number=187,frame=none,physical-address=none
tlb-remove=none,tlb-add=187logical-address=770048,page-number=188,offset=0
tlb-hit=0,page-number=188,frame=none,physical-address=none
tlb-remove=none,tlb-add=188logical-address=774144,page-number=189,offset=0
tlb-hit=0,page-number=189,frame=none,physical-address=none
tlb-remove=none,tlb-add=189logical-address=778240,page-number=190,offset=0
tlb-hit=0,page-number=190,frame=none,physical-address=none
tlb-remove=none,tlb-add=190logical-address=782336,page-number=191,offset=0
tlb-hit=0,page-number=191,frame=none,physical-address=none
tlb-remove=none,tlb-add=191logical-address=786432,page-number=192,offset=0
tlb-hit=0,page-number=192,frame=none,physical-address=none
tlb-remove=none,tlb-add=192logical-address=790528,page-number=193,offset=0
tlb-hit=0,page-number=193,frame=none,physical-address=none
tlb-remove=none,tlb-add=193logical-address=794624,page-number=194,offset=0
tlb-hit=0,page-number=194,frame=none,physical-address=none
tlb-remove=none,tlb-add=194logical-address=798720,page-number=195,offset=0
tlb-hit=0,page-number=195,frame=none,physical-address=none
tlb-remove=none,tlb-add=195logical-address=802816,page-number=196,offset=0
tlb-hit=0,page-number=196,frame=none,physical-address=none
tlb-remove=none,tlb-add=196logical-address=806912,page-number=197,offset=0
tlb-hit=0,page-number=197,frame=none,physical-address=none
tlb-remove=none,tlb-add=197logical-address=811008,page-number=198,offset=0
tlb-hit=0,page-number=198,frame=none,physical-address=none
tlb-remove=none,tlb-add=198logical-address=815104,page-number=199,offset=0
tlb-hit=0,page-number=199,frame=none,physical-address=none
tlb-remove=none,tlb-add=199logical-address=819200,page-number=200,offset=0
tlb-hit=0,page-number=200,frame=none,physical-address=none
tlb-remove=none,tlb-add=200logical-address=823296,page-number=201,offset=0
tlb-hit=0,page-number=201,frame=none,physical-address=none
tlb-remove=none,tlb-add=201logical-address=827392,page-number=202,offset=0
tlb-hit=0,page-number=202,frame=none,physical-address=none
tlb-remove=none,tlb-add=202logical-address=831488,page-number=203,offset=0
tlb-hit=0,page-number=203,frame=none,physical-address=none
tlb-remove=none,tlb-add=203logical-address=835584,page-number=204,offset=0
tlb-hit=0,page-number=204,frame=none,physical-address=none
tlb-remove=none,tlb-add=204logical-address=839680,page-number=205,offset=0
tlb-hit=0,page-number=205,frame=none,physical-address=none
tlb-remove=none,tlb-add=205logical-address=843776,page-number=206,offset=0
tlb-hit=0,page-number=206,frame=none,physical-address=none
tlb-remove=none,tlb-add=206logical-address=847872,page-number=207,offset=0
tlb-hit=0,page-number=207,frame=none,physical-address=none
tlb-remove=none,tlb-add=207logical-address=851968,page-number=208,offset=0
tlb-hit=0,page-number=208,frame=none,physical-address=none
tlb-remove=none,tlb-add=208logical-address=856064,page-number=209,offset=0
tlb-hit=0,page-number=209,frame=none,physical-address=none
tlb-remove=none,tlb-add=209logical-address=860160,page-number=210,offset=0
tlb-hit=0,page-number=210,frame=none,physical-address=none
tlb-remove=none,tlb-add=210logical-address=864256,page-number=211,offset=0
tlb-hit=0,page-number=211,frame=none,physical-address=none
tlb-remove=none,tlb-add=211logical-address=868352,page-number=212,offset=0
tlb-hit=0,page-number=212,frame=none,physical-address=none
tlb-remove=none,tlb-add=212logical-address=872448,page-number=213,offset=0
tlb-hit=0,page-number=213,frame=none,physical-address=none
tlb-remove=none,tlb-add=213logical-address=876544,page-number=214,offset=0
tlb-hit=0,page-number=214,frame=none,physical-address=none
tlb-remove=none,tlb-add=214logical-address=880640,page-number=215,offset=0
tlb-hit=0,page-number=215,frame=none,physical-address=none
tlb-remove=none,tlb-add=215logical-address=884736,page-number=216,offset=0
tlb-hit=0,page-number=216,frame=none,physical-address=none
tlb-remove=none,tlb-add=216logical-address=888832,page-number=217,offset=0
tlb-hit=0,page-number=217,frame=none,physical-address=none
tlb-remove=none,tlb-add=217logical-address=892928,page-number=218,offset=0
tlb-hit=0,page-number=218,frame=none,physical-address=none
tlb-remove=none,tlb-add=218logical-address=897024,page-number=219,offset=0
tlb-hit=0,page-number=219,frame=none,physical-address=none
tlb-remove=none,tlb-add=219logical-address=901120,page-number=220,offset=0
tlb-hit=0,page-number=220,frame=none,physical-address=none
tlb-remove=none,tlb-add=220logical-address=905216,page-number=221,offset=0
tlb-hit=0,page-number=221,frame=none,physical-address=none
tlb-remove=none,tlb-add=221logical-address=909312,page-number=222,offset=0
tlb-hit=0,page-number=222,frame=none,physical-address=none
tlb-remove=none,tlb-add=222logical-address=913408,page-number=223,offset=0
tlb-hit=0,page-number=223,frame=none,physical-address=none
tlb-remove=none,tlb-add=223logical-address=917504,page-number=224,offset=0
tlb-hit=0,page-number=224,frame=none,physical-address=none
tlb-remove=none,tlb-add=224logical-address=921600,page-number=225,offset=0
tlb-hit=0,page-number=225,frame=none,physical-address=none
tlb-remove=none,tlb-add=225logical-address=925696,page-number=226,offset=0
tlb-hit=0,page-number=226,frame=none,physical-address=none
tlb-remove=none,tlb-add=226logical-address=929792,page-number=227,offset=0
tlb-hit=0,page-number=227,frame=none,physical-address=none
tlb-remove=none,tlb-add=227logical-address=933888,page-number=228,offset=0
tlb-hit=0,page-number=228,frame=none,physical-address=none
tlb-remove=none,tlb-add=228logical-address=937984,page-number=229,offset=0
tlb-hit=0,page-number=229,frame=none,physical-address=none
tlb-remove=none,tlb-add=229logical-address=942080,page-number=230,offset=0
tlb-hit=0,page-number=230,frame=none,physical-address=none
tlb-remove=none,tlb-add=230logical-address=946176,page-number=231,offset=0
tlb-hit=0,page-number=231,frame=none,physical-address=none
tlb-remove=none,tlb-add=231logical-address=950272,page-number=232,offset=0
tlb-hit=0,page-number=232,frame=none,physical-address=none
tlb-remove=none,tlb-add=232logical-address=954368,page-number=233,offset=0
tlb-hit=0,page-number=233,frame=none,physical-address=none
tlb-remove=none,tlb-add=233logical-address=958464,page-number=234,offset=0
tlb-hit=0,page-number=234,frame=none,physical-address=none
tlb-remove=none,tlb-add=234logical-address=962560,page-number=235,offset=0
tlb-hit=0,page-number=235,frame=none,physical-address=none
tlb-remove=none,tlb-add=235logical-address=966656,page-number=236,offset=0
tlb-hit=0,page-number=236,frame=none,physical-address=none
tlb-remove=none,tlb-add=236logical-address=970752,page-number=237,offset=0
tlb-hit=0,page-number=237,frame=none,physical-address=none
tlb-remove=none,tlb-add=237logical-address=974848,page-number=238,offset=0
tlb-hit=0,page-number=238,frame=none,physical-address=none
tlb-remove=none,tlb-add=238logical-address=978944,page-number=239,offset=0
tlb-hit=0,page-number=239,frame=none,physical-address=none
tlb-remove=none,tlb-add=239logical-address=983040,page-number=240,offset=0
tlb-hit=0,page-number=240,frame=none,physical-address=none
tlb-remove=none,tlb-add=240logical-address=987136,page-number=241,offset=0
tlb-hit=0,page-number=241,frame=none,physical-address=none
tlb-remove=none,tlb-add=241logical-address=991232,page-number=242,offset=0
tlb-hit=0,page-number=242,frame=none,physical-address=none
tlb-remove=none,tlb-add=242logical-address=995328,page-number=243,offset=0
tlb-hit=0,page-number=243,frame=none,physical-address=none
tlb-remove=none,tlb-add=243logical-address=999424,page-number=244,offset=0
tlb-hit=0,page-number=244,frame=none,physical-address=none
tlb-remove=none,tlb-add=244logical-address=1003520,page-number=245,offset=0
